"",track_name,id,track_pop,artist_name,artist_pop,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,save
0,Day Stalker,spotify:track:4bRfxOqnnsz24rruXiJqzZ,47,Carpenter Brut,54,"[cyberpunk, darksynth, synthwave]",0.477,0.7620,11,-8.164,1,0.0389,0.000033,0.901,0.3490,0.2460,136.982,audio_features,4bRfxOqnnsz24rruXiJqzZ,spotify:track:4bRfxOqnnsz24rruXiJqzZ,https://api.spotify.com/v1/tracks/4bRfxOqnnsz24rruXiJqzZ,https://api.spotify.com/v1/audio-analysis/4bRfxOqnnsz24rruXiJqzZ,224240,4,1
1,Head Over Heels / Broken,spotify:track:0aF9m87P8Tja3NUMv4DfHt,67,Tears For Fears,74,"[new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop]",0.298,0.7040,7,-9.905,1,0.0366,0.188000,0.000488,0.7770,0.6550,95.023,audio_features,0aF9m87P8Tja3NUMv4DfHt,spotify:track:0aF9m87P8Tja3NUMv4DfHt,https://api.spotify.com/v1/tracks/0aF9m87P8Tja3NUMv4DfHt,https://api.spotify.com/v1/audio-analysis/0aF9m87P8Tja3NUMv4DfHt,302120,4,1
2,Can You Hear The Music,spotify:track:4VnDmjYCZkyeqeb0NIKqdA,77,Ludwig Göransson,66,"[nordic soundtrack, orchestral soundtrack, soundtrack]",0.190,0.4350,4,-12.456,0,0.0334,0.233000,0.938,0.1000,0.0643,138.515,audio_features,4VnDmjYCZkyeqeb0NIKqdA,spotify:track:4VnDmjYCZkyeqeb0NIKqdA,https://api.spotify.com/v1/tracks/4VnDmjYCZkyeqeb0NIKqdA,https://api.spotify.com/v1/audio-analysis/4VnDmjYCZkyeqeb0NIKqdA,110160,4,1
3,Heaven Up There,spotify:track:3Rl26h1HiMCV0HFHHVb2IM,58,Palace,59,[english indie rock],0.424,0.4200,4,-10.536,1,0.0373,0.168000,0.124,0.1070,0.1760,138.079,audio_features,3Rl26h1HiMCV0HFHHVb2IM,spotify:track:3Rl26h1HiMCV0HFHHVb2IM,https://api.spotify.com/v1/tracks/3Rl26h1HiMCV0HFHHVb2IM,https://api.spotify.com/v1/audio-analysis/3Rl26h1HiMCV0HFHHVb2IM,437577,4,1
4,Intro,spotify:track:6XDFFeinPXgy3auyC7huoC,49,M83,70,"[french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop]",0.408,0.7600,6,-6.844,1,0.0316,0.000973,0.000073,0.1120,0.0380,105.008,audio_features,6XDFFeinPXgy3auyC7huoC,spotify:track:6XDFFeinPXgy3auyC7huoC,https://api.spotify.com/v1/tracks/6XDFFeinPXgy3auyC7huoC,https://api.spotify.com/v1/audio-analysis/6XDFFeinPXgy3auyC7huoC,322760,4,1
5,Closetowhy,spotify:track:6ynpjKUatAPVLmfgzTXvOG,44,Parcels,64,"[aussietronica, indie soul]",0.855,0.5780,1,-11.366,0,0.0420,0.014800,0.587,0.0836,0.4490,109.995,audio_features,6ynpjKUatAPVLmfgzTXvOG,spotify:track:6ynpjKUatAPVLmfgzTXvOG,https://api.spotify.com/v1/tracks/6ynpjKUatAPVLmfgzTXvOG,https://api.spotify.com/v1/audio-analysis/6ynpjKUatAPVLmfgzTXvOG,330866,4,1
6,Dr. Ford,spotify:track:1pm8TqG9dNIcMGTQNzjYh9,50,Ramin Djawadi,66,"[german soundtrack, orchestral soundtrack, scorecore, soundtrack]",0.214,0.0732,11,-18.331,0,0.0394,0.836000,0.647,0.0607,0.0379,130.013,audio_features,1pm8TqG9dNIcMGTQNzjYh9,spotify:track:1pm8TqG9dNIcMGTQNzjYh9,https://api.spotify.com/v1/tracks/1pm8TqG9dNIcMGTQNzjYh9,https://api.spotify.com/v1/audio-analysis/1pm8TqG9dNIcMGTQNzjYh9,330238,4,1
7,TRAITOR,spotify:track:3HpJISqibQolpRzAWjBbnP,45,KOHTA YAMAMOTO,51,[],0.487,0.6930,2,-10.906,1,0.0453,0.011000,0.859,0.1090,0.0689,104.980,audio_features,3HpJISqibQolpRzAWjBbnP,spotify:track:3HpJISqibQolpRzAWjBbnP,https://api.spotify.com/v1/tracks/3HpJISqibQolpRzAWjBbnP,https://api.spotify.com/v1/audio-analysis/3HpJISqibQolpRzAWjBbnP,287320,4,1
8,Change the Times,spotify:track:5iRhXmdfV03kDNEB3FRb8e,43,Visit Neptune,24,[],0.426,0.7630,1,-10.937,0,0.0378,0.000037,0.0644,0.1510,0.3880,148.981,audio_features,5iRhXmdfV03kDNEB3FRb8e,spotify:track:5iRhXmdfV03kDNEB3FRb8e,https://api.spotify.com/v1/tracks/5iRhXmdfV03kDNEB3FRb8e,https://api.spotify.com/v1/audio-analysis/5iRhXmdfV03kDNEB3FRb8e,180000,4,1
9,Deutschland,spotify:track:2bPGTMB5sFfFYQ2YvSmup0,79,Rammstein,78,"[german metal, industrial, industrial metal, industrial rock, neue deutsche harte]",0.521,0.8950,7,-5.242,1,0.0442,0.000055,0.349,0.0985,0.2370,120.117,audio_features,2bPGTMB5sFfFYQ2YvSmup0,spotify:track:2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/tracks/2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/audio-analysis/2bPGTMB5sFfFYQ2YvSmup0,322340,4,1
10,Paul's Dream,spotify:track:1Qr17u2S9kNDzTeWAJCY5N,56,Hans Zimmer,76,"[german soundtrack, orchestral soundtrack, soundtrack]",0.184,0.2220,7,-12.428,1,0.0391,0.004940,0.776,0.0930,0.0356,114.592,audio_features,1Qr17u2S9kNDzTeWAJCY5N,spotify:track:1Qr17u2S9kNDzTeWAJCY5N,https://api.spotify.com/v1/tracks/1Qr17u2S9kNDzTeWAJCY5N,https://api.spotify.com/v1/audio-analysis/1Qr17u2S9kNDzTeWAJCY5N,423310,3,1
11,Catch Me (feat. Naaz),spotify:track:4UIAJ1WnUvAPPdkzq2rn1i,53,Yellow Claw,60,"[dutch house, edm, electro house, pop dance]",0.560,0.9160,7,-3.328,0,0.0661,0.036200,0.000963,0.1020,0.5850,144.933,audio_features,4UIAJ1WnUvAPPdkzq2rn1i,spotify:track:4UIAJ1WnUvAPPdkzq2rn1i,https://api.spotify.com/v1/tracks/4UIAJ1WnUvAPPdkzq2rn1i,https://api.spotify.com/v1/audio-analysis/4UIAJ1WnUvAPPdkzq2rn1i,162383,4,1
12,Liar,spotify:track:7EUhSxz4srS8pqh1cENbLB,61,Paramore,77,"[candy pop, modern rock, pixie, pop, pop emo, pop punk, rock]",0.512,0.4540,6,-11.993,0,0.0325,0.636000,0.209,0.1060,0.2700,148.012,audio_features,7EUhSxz4srS8pqh1cENbLB,spotify:track:7EUhSxz4srS8pqh1cENbLB,https://api.spotify.com/v1/tracks/7EUhSxz4srS8pqh1cENbLB,https://api.spotify.com/v1/audio-analysis/7EUhSxz4srS8pqh1cENbLB,261869,4,1
13,Remember me,spotify:track:1kCF1WET7woJ5968zEDw7d,51,Leslie Parrish,46,"[eurobeat, super eurobeat]",0.578,0.9840,5,-5.973,0,0.0392,0.012700,0.00551,0.3040,0.9600,153.773,audio_features,1kCF1WET7woJ5968zEDw7d,spotify:track:1kCF1WET7woJ5968zEDw7d,https://api.spotify.com/v1/tracks/1kCF1WET7woJ5968zEDw7d,https://api.spotify.com/v1/audio-analysis/1kCF1WET7woJ5968zEDw7d,158309,5,1
14,The Right Stuff,spotify:track:6jBbj4bWSI0y8OtLxcv9DT,4,Bryan Ferry,57,"[glam rock, melancholia, new romantic, new wave, new wave pop, solo wave, sophisti-pop]",0.616,0.9350,7,-6.159,1,0.0377,0.056800,0.00309,0.0728,0.6920,101.281,audio_features,6jBbj4bWSI0y8OtLxcv9DT,spotify:track:6jBbj4bWSI0y8OtLxcv9DT,https://api.spotify.com/v1/tracks/6jBbj4bWSI0y8OtLxcv9DT,https://api.spotify.com/v1/audio-analysis/6jBbj4bWSI0y8OtLxcv9DT,263333,4,1
15,Daffodils (feat. Kevin Parker),spotify:track:1v0ufp7FLTFcykUGOmFZKa,56,Mark Ronson,73,[pop soul],0.724,0.5380,0,-8.041,1,0.0381,0.040800,0.0139,0.0343,0.2820,108.945,audio_features,1v0ufp7FLTFcykUGOmFZKa,spotify:track:1v0ufp7FLTFcykUGOmFZKa,https://api.spotify.com/v1/tracks/1v0ufp7FLTFcykUGOmFZKa,https://api.spotify.com/v1/audio-analysis/1v0ufp7FLTFcykUGOmFZKa,298133,4,1
16,Adventure of a Lifetime,spotify:track:69uxyAqqPIsUyTO8txoP2M,84,Coldplay,88,"[permanent wave, pop]",0.638,0.9240,7,-3.887,1,0.0360,0.002050,0.000175,0.1490,0.5300,111.995,audio_features,69uxyAqqPIsUyTO8txoP2M,spotify:track:69uxyAqqPIsUyTO8txoP2M,https://api.spotify.com/v1/tracks/69uxyAqqPIsUyTO8txoP2M,https://api.spotify.com/v1/audio-analysis/69uxyAqqPIsUyTO8txoP2M,263787,4,1
17,New Gold (feat. Tame Impala and Bootie Brown),spotify:track:64dLd6rVqDLtkXFYrEUHIU,67,Gorillaz,78,"[alternative hip hop, modern rock, rock]",0.695,0.9230,1,-3.930,0,0.0522,0.042500,0.0469,0.1160,0.5510,108.014,audio_features,64dLd6rVqDLtkXFYrEUHIU,spotify:track:64dLd6rVqDLtkXFYrEUHIU,https://api.spotify.com/v1/tracks/64dLd6rVqDLtkXFYrEUHIU,https://api.spotify.com/v1/audio-analysis/64dLd6rVqDLtkXFYrEUHIU,215150,3,1
18,Renegade,spotify:track:0tXzxt3aJcfKu9L5i7tgfK,53,Kavinsky,60,[filter house],0.610,0.5380,9,-7.428,0,0.0319,0.038500,0.0,0.0791,0.5560,92.022,audio_features,0tXzxt3aJcfKu9L5i7tgfK,spotify:track:0tXzxt3aJcfKu9L5i7tgfK,https://api.spotify.com/v1/tracks/0tXzxt3aJcfKu9L5i7tgfK,https://api.spotify.com/v1/audio-analysis/0tXzxt3aJcfKu9L5i7tgfK,198760,4,1
19,September,spotify:track:2grjqo0Frpf2okIBiifQKs,77,"Earth, Wind & Fire",72,"[disco, funk, jazz funk, soul]",0.697,0.8320,9,-7.264,1,0.0298,0.168000,0.00131,0.2690,0.9790,125.926,audio_features,2grjqo0Frpf2okIBiifQKs,spotify:track:2grjqo0Frpf2okIBiifQKs,https://api.spotify.com/v1/tracks/2grjqo0Frpf2okIBiifQKs,https://api.spotify.com/v1/audio-analysis/2grjqo0Frpf2okIBiifQKs,215093,4,1
20,Uncle ACE,spotify:track:0Cn4UhpHhgf88eWaS9nn5u,43,Blood Orange,60,"[alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis]",0.742,0.945,5,-6.445,1,0.0428,0.063900,0.165,0.1310,0.742,112.977,audio_features,0Cn4UhpHhgf88eWaS9nn5u,spotify:track:0Cn4UhpHhgf88eWaS9nn5u,https://api.spotify.com/v1/tracks/0Cn4UhpHhgf88eWaS9nn5u,https://api.spotify.com/v1/audio-analysis/0Cn4UhpHhgf88eWaS9nn5u,256693,4,1
21,The Heart Part 5,spotify:track:5MMW4CZsZiZt2iuqAXzzWC,60,Kendrick Lamar,88,"[conscious hip hop, hip hop, rap, west coast rap]",0.700,0.812,1,-8.128,0,0.2970,0.183000,0.0,0.0756,0.801,97.405,audio_features,5MMW4CZsZiZt2iuqAXzzWC,spotify:track:5MMW4CZsZiZt2iuqAXzzWC,https://api.spotify.com/v1/tracks/5MMW4CZsZiZt2iuqAXzzWC,https://api.spotify.com/v1/audio-analysis/5MMW4CZsZiZt2iuqAXzzWC,332229,4,1
22,Last One Standing,spotify:track:7DFA3k0QQtvAkItuNAwKh4,51,Monophonics,46,"[bay area indie, instrumental funk, psychedelic soul]",0.588,0.576,6,-6.945,0,0.0367,0.218000,0.0357,0.1720,0.660,129.155,audio_features,7DFA3k0QQtvAkItuNAwKh4,spotify:track:7DFA3k0QQtvAkItuNAwKh4,https://api.spotify.com/v1/tracks/7DFA3k0QQtvAkItuNAwKh4,https://api.spotify.com/v1/audio-analysis/7DFA3k0QQtvAkItuNAwKh4,436840,4,1
23,Dancing Queen,spotify:track:0GjEhVFGZW8afUYGChu3Rr,88,ABBA,80,"[europop, swedish pop]",0.543,0.870,9,-6.514,1,0.0428,0.358000,0.000939,0.7920,0.754,100.804,audio_features,0GjEhVFGZW8afUYGChu3Rr,spotify:track:0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/audio-analysis/0GjEhVFGZW8afUYGChu3Rr,230400,4,1
24,悲しみがとまらない　I CAN'T STOP THE LONELINESS,spotify:track:3FYDqY5BRtx3IVSaiQZSze,69,Anri,59,[classic city pop],0.684,0.843,9,-4.256,1,0.0296,0.183000,0.000017,0.0635,0.885,132.027,audio_features,3FYDqY5BRtx3IVSaiQZSze,spotify:track:3FYDqY5BRtx3IVSaiQZSze,https://api.spotify.com/v1/tracks/3FYDqY5BRtx3IVSaiQZSze,https://api.spotify.com/v1/audio-analysis/3FYDqY5BRtx3IVSaiQZSze,263707,4,1
25,Don't You Worry Child - Radio Edit,spotify:track:2V65y3PX4DkRhy1djlxd9p,84,Swedish House Mafia,74,"[edm, pop dance, progressive electro house]",0.612,0.840,11,-3.145,0,0.0509,0.112000,0.0,0.1160,0.438,129.042,audio_features,2V65y3PX4DkRhy1djlxd9p,spotify:track:2V65y3PX4DkRhy1djlxd9p,https://api.spotify.com/v1/tracks/2V65y3PX4DkRhy1djlxd9p,https://api.spotify.com/v1/audio-analysis/2V65y3PX4DkRhy1djlxd9p,212862,4,1
26,Dark Necessities,spotify:track:2oaK4JLVnmRGIO9ytBE1bt,76,Red Hot Chili Peppers,82,"[alternative rock, funk metal, funk rock, permanent wave, rock]",0.700,0.742,5,-6.777,0,0.0716,0.072200,0.0199,0.1100,0.197,91.959,audio_features,2oaK4JLVnmRGIO9ytBE1bt,spotify:track:2oaK4JLVnmRGIO9ytBE1bt,https://api.spotify.com/v1/tracks/2oaK4JLVnmRGIO9ytBE1bt,https://api.spotify.com/v1/audio-analysis/2oaK4JLVnmRGIO9ytBE1bt,302000,4,1
27,This Girl (Kungs Vs. Cookin' On 3 Burners),spotify:track:1A8j067qyiNwQnZT0bzUpZ,81,Kungs,70,"[edm, pop dance, uk dance]",0.792,0.717,0,-4.759,0,0.0393,0.092700,0.000036,0.2260,0.466,121.985,audio_features,1A8j067qyiNwQnZT0bzUpZ,spotify:track:1A8j067qyiNwQnZT0bzUpZ,https://api.spotify.com/v1/tracks/1A8j067qyiNwQnZT0bzUpZ,https://api.spotify.com/v1/audio-analysis/1A8j067qyiNwQnZT0bzUpZ,195547,4,1
28,It’s Only - ODESZA VIP Remix,spotify:track:2XyNLoEWc4IDt9OVzXZUXl,58,ODESZA,68,"[chillwave, edm, indietronica]",0.596,0.882,2,-5.279,1,0.0296,0.000026,0.457,0.0421,0.109,119.999,audio_features,2XyNLoEWc4IDt9OVzXZUXl,spotify:track:2XyNLoEWc4IDt9OVzXZUXl,https://api.spotify.com/v1/tracks/2XyNLoEWc4IDt9OVzXZUXl,https://api.spotify.com/v1/audio-analysis/2XyNLoEWc4IDt9OVzXZUXl,240440,4,1
29,Separate Ways (Worlds Apart),spotify:track:4ECNtOnqzxutZkXP4TE3n3,45,Journey,73,"[album rock, classic rock, hard rock, heartland rock, mellow gold, rock, soft rock]",0.451,0.962,0,-3.947,1,0.0734,0.018800,0.000003,0.2770,0.377,131.435,audio_features,4ECNtOnqzxutZkXP4TE3n3,spotify:track:4ECNtOnqzxutZkXP4TE3n3,https://api.spotify.com/v1/tracks/4ECNtOnqzxutZkXP4TE3n3,https://api.spotify.com/v1/audio-analysis/4ECNtOnqzxutZkXP4TE3n3,323707,4,1
30,The Moment,spotify:track:37itdg1wq2IkV0wTzdhP7R,37,Saint Motel,62,"[la indie, modern alternative rock, modern rock, pov: indie]",0.479,0.814,2,-3.488,1,0.0473,0.150000,0.000002,0.0912,0.425,143.860,audio_features,37itdg1wq2IkV0wTzdhP7R,spotify:track:37itdg1wq2IkV0wTzdhP7R,https://api.spotify.com/v1/tracks/37itdg1wq2IkV0wTzdhP7R,https://api.spotify.com/v1/audio-analysis/37itdg1wq2IkV0wTzdhP7R,246600,4,1
31,Stayin Alive,spotify:track:5ubvP9oKmxLUVq506fgLhk,76,Bee Gees,77,"[disco, mellow gold, soft rock]",0.702,0.773,10,-9.256,0,0.0343,0.028800,0.00871,0.1470,0.953,103.564,audio_features,5ubvP9oKmxLUVq506fgLhk,spotify:track:5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/tracks/5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/audio-analysis/5ubvP9oKmxLUVq506fgLhk,285373,4,1
32,Walk Like an Egyptian,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,65,The Bangles,62,"[album rock, jangle pop, new romantic, new wave, new wave pop, paisley underground, soft rock]",0.724,0.891,11,-7.818,1,0.0995,0.003440,0.000047,0.3000,0.818,103.022,audio_features,1Jwc3ODLQxtbnS8M9TflSP,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,https://api.spotify.com/v1/tracks/1Jwc3ODLQxtbnS8M9TflSP,https://api.spotify.com/v1/audio-analysis/1Jwc3ODLQxtbnS8M9TflSP,204707,4,1
33,Wesley's Theory,spotify:track:7Ks4VCY1wFebnOdJrM13t6,74,Kendrick Lamar,88,"[conscious hip hop, hip hop, rap, west coast rap]",0.509,0.787,7,-6.754,1,0.2650,0.359000,0.000028,0.2600,0.507,114.449,audio_features,7Ks4VCY1wFebnOdJrM13t6,spotify:track:7Ks4VCY1wFebnOdJrM13t6,https://api.spotify.com/v1/tracks/7Ks4VCY1wFebnOdJrM13t6,https://api.spotify.com/v1/audio-analysis/7Ks4VCY1wFebnOdJrM13t6,287360,4,1
34,Me and Your Mama,spotify:track:31tf1qEai5o5f4r66Kd0pU,2,Childish Gambino,79,"[atl hip hop, hip hop, rap]",0.554,0.433,5,-12.628,1,0.0341,0.011600,0.0449,0.0667,0.237,117.996,audio_features,31tf1qEai5o5f4r66Kd0pU,spotify:track:31tf1qEai5o5f4r66Kd0pU,https://api.spotify.com/v1/tracks/31tf1qEai5o5f4r66Kd0pU,https://api.spotify.com/v1/audio-analysis/31tf1qEai5o5f4r66Kd0pU,379227,3,1
35,Cheyenne,spotify:track:3EofjRgUI1WrzqqtLb8NoF,52,Jason Derulo,80,"[dance pop, pop]",0.554,0.768,6,-5.812,0,0.1270,0.012600,0.000007,0.1220,0.324,99.679,audio_features,3EofjRgUI1WrzqqtLb8NoF,spotify:track:3EofjRgUI1WrzqqtLb8NoF,https://api.spotify.com/v1/tracks/3EofjRgUI1WrzqqtLb8NoF,https://api.spotify.com/v1/audio-analysis/3EofjRgUI1WrzqqtLb8NoF,215107,4,1
36,The Less I Know The Better,spotify:track:6K4t31amVTZDgR3sKmwUJJ,88,Tame Impala,79,"[australian psych, modern rock, neo-psychedelic, rock]",0.640,0.740,4,-4.083,1,0.0284,0.011500,0.00678,0.1670,0.785,116.879,audio_features,6K4t31amVTZDgR3sKmwUJJ,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4,1
37,Charcoal Baby,spotify:track:3bBmpVl9rQKJsFFGLFilIS,66,Blood Orange,60,"[alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis]",0.622,0.460,7,-8.389,0,0.0372,0.140000,0.000369,0.1190,0.514,183.241,audio_features,3bBmpVl9rQKJsFFGLFilIS,spotify:track:3bBmpVl9rQKJsFFGLFilIS,https://api.spotify.com/v1/tracks/3bBmpVl9rQKJsFFGLFilIS,https://api.spotify.com/v1/audio-analysis/3bBmpVl9rQKJsFFGLFilIS,242341,4,1
38,All The Stars (with SZA),spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,89,Kendrick Lamar,88,"[conscious hip hop, hip hop, rap, west coast rap]",0.698,0.633,8,-4.946,1,0.0597,0.060500,0.000194,0.0926,0.552,96.924,audio_features,3GCdLUSnKSMJhs4Tj6CV3s,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/audio-analysis/3GCdLUSnKSMJhs4Tj6CV3s,232187,4,1
39,The Living Daylights,spotify:track:4tWe3Fr8HrQPq2iFOpEGZs,54,a-ha,71,"[new romantic, new wave, new wave pop, permanent wave, synthpop]",0.694,0.780,2,-7.872,0,0.0267,0.121000,0.00157,0.1140,0.829,120.266,audio_features,4tWe3Fr8HrQPq2iFOpEGZs,spotify:track:4tWe3Fr8HrQPq2iFOpEGZs,https://api.spotify.com/v1/tracks/4tWe3Fr8HrQPq2iFOpEGZs,https://api.spotify.com/v1/audio-analysis/4tWe3Fr8HrQPq2iFOpEGZs,254347,4,1
40,Kiss the Devil,spotify:track:2zXKiHyqXqcCfdDoJ8p4uH,30,Bel Heir,18,[gauze pop],0.274,0.798,4,-6.415,1,0.0895,0.069700,0.0,0.3380,0.765,82.075,audio_features,2zXKiHyqXqcCfdDoJ8p4uH,spotify:track:2zXKiHyqXqcCfdDoJ8p4uH,https://api.spotify.com/v1/tracks/2zXKiHyqXqcCfdDoJ8p4uH,https://api.spotify.com/v1/audio-analysis/2zXKiHyqXqcCfdDoJ8p4uH,190994,4,1
41,Forgive Me,spotify:track:3IUiA6msgyFl3f8kzbdgQP,55,ODESZA,68,"[chillwave, edm, indietronica]",0.663,0.827,9,-3.135,0,0.0372,0.018500,0.00104,0.2650,0.395,104.985,audio_features,3IUiA6msgyFl3f8kzbdgQP,spotify:track:3IUiA6msgyFl3f8kzbdgQP,https://api.spotify.com/v1/tracks/3IUiA6msgyFl3f8kzbdgQP,https://api.spotify.com/v1/audio-analysis/3IUiA6msgyFl3f8kzbdgQP,208017,4,1
